count	nama_komoditas
2	Perdagangan Hasil Pertanian Gabah Padi
2	Perdagangan Kebutuhan Pokok
2	Perikanan Balong Ikan Air Tawar
2	Perikanan Budidaya
2	Perikanan Lele Gurami Nila Dan Bawal
2	Perikanan Tangkap Laut
2	Perkebunan Cengkih
2	Perkebunan Jeruk
2	Perkebunan Pinang
2	Perkebunan Rakyat Kelapa Sawit Karet Kelapa
2	Pertambangan Dan Bahan Galian C
2	Pertanian Bawang Merah
2	Pertanian Lahan Kering Hortikultura
2	Pertanian Lengkuas
2	Pertanian Perkotaan Dan Hortikultura
2	Pertanian Tanaman Jagung Cabe Rawit Nilam Tomat
2	Perternakan Ayam
2	Petai Dan Jengkol
2	Petani Cabe
2	Petani Dan Buruh Tani
2	Petani Jagung
2	Petani Nilam
2	Petani Padi Dan Sawah
2	Petani Pala
2	Petani Tanaman Cabe
2	Peternakan Ayam Babi Sapi Bebek Itik Kerbau
2	Peternakan Unggas
2	Peternakan Unggas Ayam Bebek Dll
2	Peternak Bebek
2	Pinang Kering
2	Pisang Kepok
2	Pisang Tanduk
2	Pohon Pisang Dan Buah Pisang
2	Pos Pay Agen
2	Preduksi Batako Bahan Bangunan
2	Produk Minuman
2	Produksi Kayu Bagunan
2	Produk Umkm
2	Pupuk Organik
2	Pupuk Subsidi
2	Rencana Pemberdayaan Produk Umkm
2	Rental Kendaraan Angkut
2	Restoran Rumah Makan
2	Rumah Makan Bakar Ikan
2	Sabun Cuci
2	Sagu Butir
2	Sagu Dan Kelapa
2	Sapi Ayam Kampung Dan Bebek
2	Sapi Pedaging
2	Sarang Walet
2	Sawo
2	Sektor Jasa Dan Industri Mikro
2	Sembako Gas Pupuk
2	Sewa Alat Pesta
2	Spbun Nelayan
2	Spbu Pertalite Biosolar Dan Minyak Tanah
2	Sppg Mbg
2	Sub Pangkalan Lpg Tertentu 3 Kg
2	Tambak Ikan Patin Nila Dan Lele
2	Tambak Lele
2	Tambang Batu Dan Batu Split
2	Tanaman Tembakau
2	Tandan Buah Segar Kelapa Sawit
2	Telur Dan Daging Sap
2	Ternak Ayam Kampung Dan Pedaging
2	Ternak Dan Budi Daya Ikan Lele
2	Ternak Sapi Kambing Ayam
2	Timun
2	Toko Atk Dan Foto Copy
2	Toko Kue
2	Travel
2	Umkm Catering
2	Umkm Kerajinan Dan Makanan Tradisional
2	Umkm Kuliner
2	Umkm Lokal
2	Umkm Makanan
2	Umkm Minuman Tradisional
2	Umkm Sembako Dan Warkop
2	Umkm Warung Warga
2	Unit Usage Koperasi Merah Putih Sembako
2	Usaha Fotokopy
2	Usaha Jasa
2	Usaha Mebel
2	Usaha Pakan
2	Usaha Rumah Kos
2	Warkop
2	Warung
2	Warung Klontong
2	Warung Kopi
2	Warung Nasi Bungkus
2	Warung Pojokan
2	Warung Sembako Rumahan
2	Warung Sembako Rumahan Bukan Di Pasar
2	Wedding Organizer
2	Wisata Alam Mangrove Pasir Putih
2	Wisata Kuliner
2	Wisata Magrove
1	51 Industri Penggilingan Dan Pengolahan Kopi Kbli 10761
1	84 Sulawesi  Dapatkan Aplikasi  Lihat Foto Pt An Wisata Indonesia
1	Agen Bni 46
1	Agen Bsi
1	Agen Laku Pandai Bni Agen 46
1	Agen Lpg 3 Kilogram
1	Agen Mandiri
1	Agen Penyeluran Minyak Tanah Bensin Dan Solar
1	Agen Pulsa
1	Agrowisata Alpukat Dan Durian
1	Air
1	Air Mineral
1	Air Mineral Aquviva
1	Air Minum Bersih Dari Air Permukaan
1	Air Minum Dalam Kemasan Amdk
1	Air Minum Isi Ulang Depot Widya
1	Air Panas Mariarotu
1	Air Terjun Mariarotu
1	Aktivitas Cold Storage
1	Alat Alat Rumah Tangga
1	Alat Tulis Kantor Dan Benda Pos
1	Amanah Digital Print
1	Andika Laundry
1	Aneka Bumbu Dapur
1	Aneka Kue Basah
1	Aneka Produk Kopi Kemasan
1	Anggota Koperasi
1	Anyerah Print Soiution
1	Apotek Atria Farma
1	Apotek Kdmp Sungai Bakau
1	Apotek Salsabila
1	Apotik Obat Klinik
1	Arang Batok Kelapa
1	Arang Batok Kelapa Briket Batok Kelapa
1	Arang Kayu
1	Arang Tempurung
1	Area Parkir
1	Aren
1	Arhan Print Fotocopy
1	Arsy Cell Kalimantan
1	Atsiri Minyak Nilam
1	Ayam Geprek Tinutuan
1	Ayam Kampung Bebek Rumahan
1	Ayam Lokal
1	Ayam Petelur Broi Er
1	Ayam Utuh Segar
1	Azzariah Wedding Syari Toko Peralatan Pesta Pernikahan
1	Bahan Kerajinan Enceng Gondok
1	Bahan Material
1	Bahan Pokok
1	Bakmie
1	Bakso
1	Bakso Pandawa Solo
1	Balqis Laundry
1	Bandeng
1	Bank
1	Barang Kreditan
1	Barber Rock N Roll
1	Basewa Kursi Lipat Meja Lipat Alat Camping
1	Batu Gunung
1	Bawang Nunggal
1	Bayang Kamkung
1	Bbm Bersupsidi
1	Bbm Bersupsidi Untuk Nelayan Dan Jasa Transportasi
1	Bbm Non Subsidi
1	B Cv Printing
1	Bengkel Dan Jual Beli Aksesoris Motor
1	Bengkel Dan Service Kendaraan
1	Bengkel Komplex
1	Bengkel Las Mobil Dan Tambal Ban
1	Bengkel Mobil
1	Bengkel Perawatan
1	Beras Kemasan 5 Kg
1	Beras Kita Premium 5 Kg
1	Beras Mangga Dua
1	Beras Santap Lezat
1	Beras Super
1	Berkah Wangi
1	Besi Bekas
1	Bibit Dan Obat Pertanian
1	Bibit Kakao
1	Bidang Pertanian
1	Biji Kopi
1	Blidonkshop
1	Bni Agen 46
1	Bright Gas Outlet Cell Nisa
1	Brilink
1	Brilink Abdul Muis
1	Buah Ace Kedungpane
1	Buah Mentimun
1	Buah Naga
1	Buah Pepaya
1	Buah Pisang
1	Buah Salak
1	Buah Sawit
1	Bubur Ayam Bandung Teh Ros
1	Budidaya Bibit Tanaman Cabai Terong Daun Sop Dll
1	Budi Daya Ikan Hias Dan Ikan Konsumsi
1	Budidaya Ikan Kambing Sapi
1	Budidaya Jamur Konsumsi
1	Budidaya Jamur Tiram
1	Budidaya Kerang Laut
1	Budidaya Talas Beneng
1	Budidaya Tambak Ikan Dan Udang Paname
1	Budidaya Udang Lobster
1	Bukit/Gunung
1	Bumbu
1	Bumdes
1	Buruh Angkut Padi
1	Burung Angsa
1	Cacao
1	Cagar Budaya
1	Canon Image Runner Advance
1	Cap Tikus Saledo
1	Celluler
1	Cendana Laundry
1	Cilok
1	Cool Storieg
1	Cucian Mobil
1	Cumi Cumi Sotong
1	Cup Noodles
1	Dagang
1	Daging Ayam
1	Danish Stuff Toko Perlengkapan Rumah
1	Dapoer Barokah
1	Dapur Sppg Gizi Nasional
1	Dapur Sppg Suplai Koperasi Merah Putih
1	Dapur Ummi Nasi Kuning Manado
1	Deios Premium Apple Store
1	Depot Air Ro
1	Dermaga Pelabuhan
1	Desa
1	Desain Grafis Dan Percetakan
1	Destinasi Wisata Progo View
1	Disinijo Jprint
1	Distribusi Pemasaran Dan Jasa
1	Distributor Buah Sawit
1	Distributor Kopi
1	Distributor Resmi Minyakita
1	Dki Martabak Mini Gorontalo
1	Dshoes Bar Lodry Sepatu
1	Durian Kane
1	Eceran Sembako Minyak Goreng Gula Telur Beras Dan Kebutuhan Rumah Tangga Lainnya
1	Edukasi
1	Eka Printing
